nct_id,modeltype,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs,null.deviance,df.null,deviance,df.residual
NCT01621178,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-255.707,523.415,549.541,575,515.454,574,511.415,569
NCT01648582,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-250.069,512.137,540.047,774,505.86,773,500.137,768
NCT01769378,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.334,164.669,186.871,299,171.927,298,152.669,293
NCT02152371,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.036,190.071,212.294,300,186.11,299,178.071,294
NCT02597049,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.809,135.618,159.902,423,129.641,422,123.618,417
NCT02750410,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.73,111.459,129.873,159,108.127,158,99.459,153
NCT00838903,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-663.321,1350.641,1409.642,1009,1338.683,1008,1326.641,997
NCT00838916,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-480.713,973.425,1001.057,739,969.107,738,961.425,733
NCT00839527,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-450.836,919.671,960.115,661,909.125,660,901.671,652
NCT00849017,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-194.757,401.514,423.717,299,401.128,298,389.514,293
NCT00849056,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-193.62,399.239,421.482,301,398.389,300,387.239,295
NCT00976391,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-225.847,463.694,489.715,565,464.454,564,451.694,559
NCT01098539,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-266.177,544.354,569.557,493,544.927,492,532.354,487
NCT01733758,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-154.834,321.667,346.834,490,322.953,489,309.667,484
NCT02229227,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-324.661,661.321,689.518,812,651.532,811,649.321,806
NCT00968812,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-912.381,1836.761,1868.445,1452,1831.353,1451,1824.761,1446
NCT01081834,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-308.766,629.532,655.782,587,633.086,586,617.532,581
NCT01106625,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-295.947,603.894,628.798,469,600.679,468,591.894,463
NCT01106651,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-412.399,836.797,864.24,716,840.507,715,824.797,710
NCT01106677,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-648.714,1315.428,1361.848,1284,1304.745,1283,1297.428,1275
NCT01106690,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-182.763,377.526,400.57,344,375.508,343,365.526,338
NCT01137812,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-495.832,1003.665,1031.433,756,1008.561,755,991.665,750
NCT01381900,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.436,266.873,293.988,678,257.884,677,254.873,672
NCT01809327,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-241.408,494.816,522.225,712,500.422,711,482.816,706
NCT02025907,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.006,208.012,228.319,218,207.815,217,196.012,212
NCT00688701,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-102.174,216.349,239.665,360,206.522,359,204.349,354
NCT00712673,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-379.518,771.035,798.168,680,762.571,679,759.035,674
NCT00713830,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-522.545,1057.09,1085.618,858,1049.258,857,1045.09,852
NCT00715624,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-314.418,640.836,666.051,494,630.708,493,628.836,488
NCT00763451,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-247.849,507.698,532.765,482,500.132,481,495.698,476
NCT00763815,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-284.678,581.356,606.449,484,574.883,483,569.356,478
NCT00866658,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.372,208.743,231.163,310,210.2,309,196.743,304
NCT00975286,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-131.235,274.469,299.071,446,273.823,445,262.469,440
NCT00976937,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91.437,194.875,217.466,319,184.993,318,182.875,313
NCT01169779,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.095,196.19,219.986,390,196.283,389,184.19,384
NCT01632163,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.35,178.7,199.853,251,171.385,250,166.7,245
NCT01768559,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-207.469,426.938,455.698,892,429.175,891,414.938,886
NCT01798706,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.758,233.516,256.219,325,230.413,324,221.516,319
NCT00286429,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-249.337,510.674,534.346,382,523.517,381,498.674,376
NCT00286442,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-251.038,514.076,539.541,515,512.63,514,502.076,509
NCT00286455,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-156.557,325.113,347.761,322,337.19,321,313.113,316
NCT00286468,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-277.561,567.123,592.41,500,587.197,499,555.123,494
NCT00286494,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-244.883,501.766,526.883,486,499.407,485,489.766,480
NCT00707993,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-296.26,604.519,629.054,441,598.539,440,592.519,435
NCT00856284,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1813.588,3639.176,3674.443,2638,3649.397,2637,3627.176,2632
NCT01023581,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-293.163,604.325,643.261,559,606.346,558,586.325,550
NCT01289119,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139.157,290.313,315.661,505,284.478,504,278.313,499
NCT01632007,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.159,124.318,145.325,245,118.249,244,112.318,239
NCT01890122,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-258.401,534.802,572.515,488,544.401,487,516.802,479
